station_id,station_name,timestamp,latitude,longitude,elevation_m,temperature_c,pressure_hpa,relative_humidity_pct,pressure_type
INM00042111,DEHRADUN,2023-01-08 12:00:00,30.3167,78.0333,682.0,16.6,944.7,60.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-08 15:00:00,30.3167,78.0333,682.0,10.4,946.1,88.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-08 18:00:00,30.3167,78.0333,682.0,8.5,947.5,94.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-09 00:00:00,30.3167,78.0333,682.0,7.2,946.7,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-09 03:00:00,30.3167,78.0333,682.0,8.4,947.8,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-09 06:00:00,30.3167,78.0333,682.0,19.6,948.0,55.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-09 09:00:00,30.3167,78.0333,682.0,23.0,946.2,38.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-09 12:00:00,30.3167,78.0333,682.0,17.5,945.8,62.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-09 15:00:00,30.3167,78.0333,682.0,12.8,947.1,80.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-09 18:00:00,30.3167,78.0333,682.0,10.2,947.1,91.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-09 21:00:00,30.3167,78.0333,682.0,8.8,945.4,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-10 00:00:00,30.3167,78.0333,682.0,8.6,945.5,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-10 03:00:00,30.3167,78.0333,682.0,8.6,947.0,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-10 06:00:00,30.3167,78.0333,682.0,21.0,947.8,48.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-10 09:00:00,30.3167,78.0333,682.0,24.0,943.9,43.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-10 12:00:00,30.3167,78.0333,682.0,18.0,943.8,67.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-10 15:00:00,30.3167,78.0333,682.0,11.2,944.4,88.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-10 18:00:00,30.3167,78.0333,682.0,9.2,945.0,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-11 00:00:00,30.3167,78.0333,682.0,7.7,942.0,98.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-11 03:00:00,30.3167,78.0333,682.0,8.6,942.8,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-11 06:00:00,30.3167,78.0333,682.0,14.7,942.7,64.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-11 09:00:00,30.3167,78.0333,682.0,14.8,940.3,72.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-11 12:00:00,30.3167,78.0333,682.0,12.5,940.2,82.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-11 15:00:00,30.3167,78.0333,682.0,10.6,941.9,93.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-12 00:00:00,30.3167,78.0333,682.0,9.5,941.0,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-12 03:00:00,30.3167,78.0333,682.0,9.6,941.5,90.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-12 06:00:00,30.3167,78.0333,682.0,19.7,941.8,44.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-12 09:00:00,30.3167,78.0333,682.0,22.0,940.3,43.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-12 12:00:00,30.3167,78.0333,682.0,17.6,939.4,58.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-12 15:00:00,30.3167,78.0333,682.0,11.8,940.2,84.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-12 18:00:00,30.3167,78.0333,682.0,9.6,940.7,90.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-12 21:00:00,30.3167,78.0333,682.0,12.0,940.6,84.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-13 00:00:00,30.3167,78.0333,682.0,11.0,940.3,88.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-13 03:00:00,30.3167,78.0333,682.0,10.0,942.1,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-13 06:00:00,30.3167,78.0333,682.0,20.0,942.8,50.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-13 09:00:00,30.3167,78.0333,682.0,21.6,941.0,46.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-13 12:00:00,30.3167,78.0333,682.0,18.0,941.1,65.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-13 15:00:00,30.3167,78.0333,682.0,13.0,942.1,89.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-13 18:00:00,30.3167,78.0333,682.0,13.0,942.8,96.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-13 21:00:00,30.3167,78.0333,682.0,13.0,942.4,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-14 00:00:00,30.3167,78.0333,682.0,12.2,942.7,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-14 03:00:00,30.3167,78.0333,682.0,11.8,943.1,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-14 06:00:00,30.3167,78.0333,682.0,17.5,944.1,75.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-14 09:00:00,30.3167,78.0333,682.0,20.8,941.7,57.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-14 12:00:00,30.3167,78.0333,682.0,15.7,941.7,84.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-14 15:00:00,30.3167,78.0333,682.0,13.6,943.0,89.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-14 18:00:00,30.3167,78.0333,682.0,11.2,943.0,96.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-15 00:00:00,30.3167,78.0333,682.0,11.5,941.0,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-15 03:00:00,30.3167,78.0333,682.0,11.2,942.0,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-15 06:00:00,30.3167,78.0333,682.0,16.0,943.2,76.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-15 09:00:00,30.3167,78.0333,682.0,18.8,939.8,63.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-15 12:00:00,30.3167,78.0333,682.0,15.2,940.1,75.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-15 15:00:00,30.3167,78.0333,682.0,13.0,940.8,84.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-15 18:00:00,30.3167,78.0333,682.0,11.6,941.9,88.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-15 21:00:00,30.3167,78.0333,682.0,11.0,941.8,88.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-16 00:00:00,30.3167,78.0333,682.0,10.7,941.1,89.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-16 03:00:00,30.3167,78.0333,682.0,10.8,943.6,88.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-16 06:00:00,30.3167,78.0333,682.0,13.6,944.7,68.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-16 09:00:00,30.3167,78.0333,682.0,18.6,942.6,61.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-16 12:00:00,30.3167,78.0333,682.0,15.0,942.2,66.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-16 15:00:00,30.3167,78.0333,682.0,12.2,944.0,87.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-16 18:00:00,30.3167,78.0333,682.0,9.5,944.6,94.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-16 21:00:00,30.3167,78.0333,682.0,7.8,944.0,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-17 00:00:00,30.3167,78.0333,682.0,6.7,943.1,98.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-17 03:00:00,30.3167,78.0333,682.0,7.6,943.8,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-17 06:00:00,30.3167,78.0333,682.0,15.0,944.2,60.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-17 09:00:00,30.3167,78.0333,682.0,16.0,942.4,61.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-17 12:00:00,30.3167,78.0333,682.0,14.6,942.3,69.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-17 15:00:00,30.3167,78.0333,682.0,11.5,944.5,83.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-17 18:00:00,30.3167,78.0333,682.0,10.0,945.0,88.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-18 00:00:00,30.3167,78.0333,682.0,5.6,944.8,99.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-18 03:00:00,30.3167,78.0333,682.0,6.2,946.0,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-18 06:00:00,30.3167,78.0333,682.0,15.7,947.8,63.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-18 09:00:00,30.3167,78.0333,682.0,18.6,944.7,50.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-18 12:00:00,30.3167,78.0333,682.0,16.0,943.9,61.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-18 15:00:00,30.3167,78.0333,682.0,10.2,945.9,91.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-18 18:00:00,30.3167,78.0333,682.0,9.0,945.6,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-18 21:00:00,30.3167,78.0333,682.0,10.0,946.2,88.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-19 00:00:00,30.3167,78.0333,682.0,10.0,945.1,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-19 03:00:00,30.3167,78.0333,682.0,9.6,946.6,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-19 06:00:00,30.3167,78.0333,682.0,15.0,947.6,70.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-19 09:00:00,30.3167,78.0333,682.0,15.6,946.2,69.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-19 12:00:00,30.3167,78.0333,682.0,15.5,945.5,71.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-19 15:00:00,30.3167,78.0333,682.0,11.4,945.3,88.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-19 18:00:00,30.3167,78.0333,682.0,11.5,946.4,93.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-19 21:00:00,30.3167,78.0333,682.0,11.4,946.1,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-20 00:00:00,30.3167,78.0333,682.0,10.6,945.8,100.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-20 03:00:00,30.3167,78.0333,682.0,11.0,945.1,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-20 06:00:00,30.3167,78.0333,682.0,13.0,946.2,89.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-20 09:00:00,30.3167,78.0333,682.0,17.0,944.3,63.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-20 12:00:00,30.3167,78.0333,682.0,15.2,943.9,81.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-20 15:00:00,30.3167,78.0333,682.0,12.2,944.6,93.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-20 18:00:00,30.3167,78.0333,682.0,9.2,945.4,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-20 21:00:00,30.3167,78.0333,682.0,7.8,945.5,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-21 00:00:00,30.3167,78.0333,682.0,7.0,944.7,100.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-21 03:00:00,30.3167,78.0333,682.0,8.0,946.0,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-21 06:00:00,30.3167,78.0333,682.0,17.7,945.5,60.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-21 09:00:00,30.3167,78.0333,682.0,22.0,943.6,41.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-21 12:00:00,30.3167,78.0333,682.0,18.7,942.4,65.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-21 15:00:00,30.3167,78.0333,682.0,11.8,943.2,88.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-21 18:00:00,30.3167,78.0333,682.0,9.0,944.0,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-21 21:00:00,30.3167,78.0333,682.0,8.6,942.5,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-22 00:00:00,30.3167,78.0333,682.0,8.0,942.0,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-22 03:00:00,30.3167,78.0333,682.0,8.6,944.0,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-22 06:00:00,30.3167,78.0333,682.0,19.0,943.8,53.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-22 09:00:00,30.3167,78.0333,682.0,22.0,943.1,48.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-22 12:00:00,30.3167,78.0333,682.0,18.6,942.4,64.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-22 15:00:00,30.3167,78.0333,682.0,11.4,943.5,81.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-22 18:00:00,30.3167,78.0333,682.0,9.6,944.2,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-22 21:00:00,30.3167,78.0333,682.0,8.4,944.3,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-23 00:00:00,30.3167,78.0333,682.0,7.6,944.1,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-23 03:00:00,30.3167,78.0333,682.0,8.6,945.1,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-23 06:00:00,30.3167,78.0333,682.0,19.6,946.6,55.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-23 09:00:00,30.3167,78.0333,682.0,23.6,942.8,41.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-23 15:00:00,30.3167,78.0333,682.0,13.4,942.0,85.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-23 18:00:00,30.3167,78.0333,682.0,10.7,942.5,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-24 00:00:00,30.3167,78.0333,682.0,11.6,941.0,96.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-24 03:00:00,30.3167,78.0333,682.0,12.2,943.5,82.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-24 06:00:00,30.3167,78.0333,682.0,19.7,944.9,56.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-24 09:00:00,30.3167,78.0333,682.0,21.6,942.4,59.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-24 12:00:00,30.3167,78.0333,682.0,17.6,941.1,76.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-24 15:00:00,30.3167,78.0333,682.0,14.8,942.0,91.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-24 18:00:00,30.3167,78.0333,682.0,13.6,942.6,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-24 21:00:00,30.3167,78.0333,682.0,13.0,942.8,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-25 00:00:00,30.3167,78.0333,682.0,12.6,942.4,100.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-25 03:00:00,30.3167,78.0333,682.0,13.2,943.8,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-25 06:00:00,30.3167,78.0333,682.0,20.0,945.1,72.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-25 09:00:00,30.3167,78.0333,682.0,21.4,943.4,60.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-25 12:00:00,30.3167,78.0333,682.0,18.6,943.4,80.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-25 15:00:00,30.3167,78.0333,682.0,15.6,944.1,90.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-25 18:00:00,30.3167,78.0333,682.0,15.0,945.1,94.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-25 21:00:00,30.3167,78.0333,682.0,13.7,944.6,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-26 00:00:00,30.3167,78.0333,682.0,11.5,944.3,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-26 03:00:00,30.3167,78.0333,682.0,11.4,945.5,96.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-26 06:00:00,30.3167,78.0333,682.0,20.0,946.6,62.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-26 09:00:00,30.3167,78.0333,682.0,24.0,943.9,52.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-26 12:00:00,30.3167,78.0333,682.0,19.7,943.7,74.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-26 15:00:00,30.3167,78.0333,682.0,15.0,944.0,94.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-26 18:00:00,30.3167,78.0333,682.0,13.0,944.0,96.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-27 00:00:00,30.3167,78.0333,682.0,11.6,942.2,96.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-27 03:00:00,30.3167,78.0333,682.0,11.2,945.0,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-27 06:00:00,30.3167,78.0333,682.0,20.2,946.4,59.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-27 09:00:00,30.3167,78.0333,682.0,25.0,943.2,42.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-27 12:00:00,30.3167,78.0333,682.0,20.7,942.0,57.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-27 15:00:00,30.3167,78.0333,682.0,15.4,943.2,86.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-27 18:00:00,30.3167,78.0333,682.0,12.5,943.1,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-27 21:00:00,30.3167,78.0333,682.0,10.8,941.8,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-28 00:00:00,30.3167,78.0333,682.0,8.6,941.2,99.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-28 03:00:00,30.3167,78.0333,682.0,9.6,942.2,90.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-28 06:00:00,30.3167,78.0333,682.0,20.6,943.9,39.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-28 09:00:00,30.3167,78.0333,682.0,25.0,940.8,33.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-28 12:00:00,30.3167,78.0333,682.0,21.2,940.0,62.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-28 15:00:00,30.3167,78.0333,682.0,14.4,941.1,85.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-28 18:00:00,30.3167,78.0333,682.0,11.0,941.3,93.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-28 21:00:00,30.3167,78.0333,682.0,9.0,940.8,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-29 00:00:00,30.3167,78.0333,682.0,9.0,941.0,87.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-29 03:00:00,30.3167,78.0333,682.0,10.2,942.8,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-29 06:00:00,30.3167,78.0333,682.0,14.6,944.8,75.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-29 09:00:00,30.3167,78.0333,682.0,15.6,942.2,70.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-29 12:00:00,30.3167,78.0333,682.0,14.7,942.0,78.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-29 15:00:00,30.3167,78.0333,682.0,14.2,942.0,94.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-29 18:00:00,30.3167,78.0333,682.0,14.0,943.2,95.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-30 00:00:00,30.3167,78.0333,682.0,12.7,945.2,100.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-30 03:00:00,30.3167,78.0333,682.0,12.6,947.8,100.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-30 06:00:00,30.3167,78.0333,682.0,15.2,948.9,87.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-30 09:00:00,30.3167,78.0333,682.0,16.2,946.8,84.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-30 12:00:00,30.3167,78.0333,682.0,16.5,945.6,82.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-30 15:00:00,30.3167,78.0333,682.0,13.4,946.7,96.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-30 18:00:00,30.3167,78.0333,682.0,11.0,946.3,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-30 21:00:00,30.3167,78.0333,682.0,9.8,946.0,97.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-31 00:00:00,30.3167,78.0333,682.0,8.6,945.0,100.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-31 03:00:00,30.3167,78.0333,682.0,9.6,946.3,92.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-31 06:00:00,30.3167,78.0333,682.0,18.7,947.0,63.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-31 09:00:00,30.3167,78.0333,682.0,22.8,946.8,49.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-31 12:00:00,30.3167,78.0333,682.0,19.6,943.3,65.0,station_level_pressure
INM00042111,DEHRADUN,2023-01-31 15:00:00,30.3167,78.0333,682.0,15.8,943.0,82.0,station_level_pressure
