timestamp,temperature_c,relative_humidity_pct,sea_level_pressure_hpa,station_level_pressure_hpa,latitude,longitude,elevation_m,station_id,station_name,pressure_hpa,pressure_type
2023-01-02 12:00:00,15.0,79.0,1018.2,947.0,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1018.2,sea_level_pressure
2023-01-02 15:00:00,12.2,91.0,1022.1,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1022.1,sea_level_pressure
2023-01-02 15:00:00,14.2,59.0,1020.2,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1020.2,sea_level_pressure
2023-01-02 15:00:00,9.8,90.0,1021.2,948.5,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1021.2,sea_level_pressure
2023-01-02 18:00:00,10.2,95.0,1022.8,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1022.8,sea_level_pressure
2023-01-02 18:00:00,13.4,54.0,1020.9,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1020.9,sea_level_pressure
2023-01-02 18:00:00,9.0,90.0,1021.7,948.6,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1021.7,sea_level_pressure
2023-01-02 21:00:00,9.2,97.0,1022.1,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1022.1,sea_level_pressure
2023-01-02 21:00:00,12.0,58.0,1020.2,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1020.2,sea_level_pressure
2023-01-02 21:00:00,,,,,,,,INM00042111,DEHRADUN,,sea_level_pressure
2023-01-03 00:00:00,11.2,88.0,1021.5,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1021.5,sea_level_pressure
2023-01-03 00:00:00,11.0,76.0,1020.3,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1020.3,sea_level_pressure
2023-01-03 00:00:00,6.6,97.0,1021.5,948.0,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1021.5,sea_level_pressure
2023-01-03 03:00:00,11.2,85.0,1023.6,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1023.6,sea_level_pressure
2023-01-03 03:00:00,10.8,78.0,1022.9,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1022.9,sea_level_pressure
2023-01-03 03:00:00,6.8,97.0,1022.5,949.0,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1022.5,sea_level_pressure
2023-01-03 06:00:00,13.4,77.0,1024.0,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1024.0,sea_level_pressure
2023-01-03 06:00:00,18.8,53.0,1022.5,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1022.5,sea_level_pressure
2023-01-03 06:00:00,16.2,62.0,1020.8,949.8,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1020.8,sea_level_pressure
2023-01-03 09:00:00,15.6,66.0,1021.3,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1021.3,sea_level_pressure
2023-01-03 09:00:00,22.8,30.0,1019.3,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1019.3,sea_level_pressure
2023-01-03 09:00:00,18.6,48.0,1017.5,947.3,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1017.5,sea_level_pressure
2023-01-03 12:00:00,14.6,70.0,1021.1,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1021.1,sea_level_pressure
2023-01-03 12:00:00,21.0,29.0,1019.3,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1019.3,sea_level_pressure
2023-01-03 12:00:00,14.0,67.0,1019.8,948.2,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1019.8,sea_level_pressure
2023-01-03 15:00:00,10.0,90.0,1022.7,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1022.7,sea_level_pressure
2023-01-03 15:00:00,16.8,36.0,1021.8,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1021.8,sea_level_pressure
2023-01-03 15:00:00,8.4,90.0,1021.4,948.4,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1021.4,sea_level_pressure
2023-01-03 18:00:00,7.5,93.0,1022.1,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1022.1,sea_level_pressure
2023-01-03 18:00:00,14.0,43.0,1022.7,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1022.7,sea_level_pressure
2023-01-03 18:00:00,7.0,97.0,1021.9,948.4,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1021.9,sea_level_pressure
2023-01-03 21:00:00,6.6,97.0,1022.5,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1022.5,sea_level_pressure
2023-01-03 21:00:00,12.8,47.0,1022.4,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1022.4,sea_level_pressure
2023-01-03 21:00:00,5.8,97.0,1021.6,947.8,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1021.6,sea_level_pressure
2023-01-04 00:00:00,7.6,97.0,1022.5,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1022.5,sea_level_pressure
2023-01-04 00:00:00,8.4,68.0,1022.2,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1022.2,sea_level_pressure
2023-01-04 00:00:00,5.0,100.0,1021.3,947.3,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1021.3,sea_level_pressure
2023-01-04 03:00:00,6.6,100.0,1025.1,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1025.1,sea_level_pressure
2023-01-04 03:00:00,7.8,75.0,1024.7,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1024.7,sea_level_pressure
2023-01-04 03:00:00,6.0,94.0,1023.2,949.3,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1023.2,sea_level_pressure
2023-01-04 06:00:00,10.5,77.0,1024.4,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1024.4,sea_level_pressure
2023-01-04 06:00:00,16.2,44.0,1024.3,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1024.3,sea_level_pressure
2023-01-04 06:00:00,16.5,49.0,1021.0,950.0,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1021.0,sea_level_pressure
2023-01-04 09:00:00,15.6,59.0,1012.5,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1012.5,sea_level_pressure
2023-01-04 09:00:00,21.0,21.0,1020.5,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1020.5,sea_level_pressure
2023-01-04 09:00:00,21.2,40.0,1016.6,947.1,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1016.6,sea_level_pressure
2023-01-04 12:00:00,13.2,75.0,1012.6,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1012.6,sea_level_pressure
